,patch_id,star_id_b,star_id_r,magnitude_b,magnitude_r,asc_d,asc_m,asc_s,dec_d,dec_m,dec_s,period,frequency,num_points_good_b,num_points_good_r,asym_b,asym_r,log_p_not_variable,sigma_flux_b,sigma_flux_r,type,quality,div_period
54_3198,54.0,3198.0,3327.0,19.078,18.1298,5.0,48.0,19.58,-70.0,36.0,16.84,0.610837,1.6371,123.0,122.0,2.61765,0.794118,-2.76059,41.4272,88.0977,3.0,2.0,1.0
578_2223,578.0,2223.0,2598.0,19.0282,18.8067,5.0,5.0,52.85,-69.0,8.0,40.12,1.91302,0.522734,119.0,120.0,1.125,0.6,-2.23733,39.5553,45.3581,3.0,2.0,6.0
242_3046,242.0,3046.0,3274.0,17.8534,15.6034,5.0,31.0,26.46,-69.0,14.0,32.21,0.996323,1.00369,102.0,97.0,1.37209,1.36585,-3.58045,118.827,939.354,3.0,1.0,1.0
183_521,183.0,521.0,484.0,19.5333,19.3503,5.0,36.0,22.17,-68.0,38.0,58.52,3.11668,0.320854,124.0,120.0,0.8235290000000001,0.518987,-1.92828,23.8917,26.5069,3.0,1.0,8.0
78_8616,78.0,8616.0,8899.0,19.3348,18.4437,5.0,45.0,26.5,-70.0,1.0,24.55,0.6216020000000001,1.60875,122.0,122.0,0.648649,1.0,-0.00719331,28.7311,66.2163,1.0,0.0,1.0
62_324,62.0,324.0,285.0,19.0766,18.9401,5.0,43.0,9.69,-66.0,48.0,41.07,2.62914,0.380353,122.0,122.0,1.90476,1.71111,-2.05086,38.8305,44.1525,3.0,2.0,8.0
387_5337,387.0,5337.0,5495.0,18.9227,18.1826,5.0,19.0,53.71,-70.0,12.0,28.36,2.0847,0.479685,123.0,118.0,1.86047,1.40816,-2.87912,46.3711,89.1776,3.0,2.0,4.0
698_2326,698.0,2326.0,2129.0,19.6132,19.2625,4.0,55.0,15.45,-70.0,42.0,2.23,1.27211,0.786096,113.0,105.0,1.35417,0.6153850000000001,0.0414711,23.3749,30.6063,3.0,1.0,2.0
49_6224,49.0,6224.0,6710.0,20.1333,19.4708,5.0,48.0,5.8,-69.0,46.0,47.26,1.69937,0.588453,123.0,121.0,0.8358209999999999,0.390805,0.0185001,13.6535,22.5497,3.0,1.0,5.0
217_2789,217.0,2789.0,2964.0,19.4614,18.7972,5.0,34.0,0.08,-69.0,44.0,40.67,2.7591900000000003,0.362425,123.0,121.0,2.23684,1.37255,-6.6198,32.2962,51.8518,3.0,2.0,5.0
