NOMREG	NOMDEP	DATEAPPELLATION	FERME	ANNREOUV	ANNEXE	NOM DU MUSEE	ADR	CP	VILLE	SITWEB	FERMETURE ANNUELLE	PERIODE OUVERTURE	JOURS NOCTURNES
ALSACE	BAS-RHIN	01/02/2003	NON			Musée de la Folie Marco	"30, Rue du Dr Sultzer"	67140	BARR	www.barr.fr	Novembre à avril	"Ouvert de mai à septembre du mercredi au lundi de 10h à 12h et de 14h à 18h, en octobre les samedis et dimanches de 10h à 12h et de 14h à 18h."	
ALSACE	BAS-RHIN	01/02/2003	NON			Musée de la Poterie	"2, rue de Kuhlendorf"	67660	BETSCHDORF	www.betschdorf.fr/tourisme/visiter_betschdrof/musee_poterie.php	Novembre à mi-avril	"Ouvert du mardi au samedi de 10h à 12h et de 13h à 18h, dimanche de 14h à 18h (ouvert du 21 avril au 29 septembre en 2013)"	
ALSACE	BAS-RHIN	01/02/2003	OUI	29 juin 2013		Musée de Bouxwiller et du Pays de Hanau	"2, Place du Château Halle aux Blés"	67330	BOUXWILLER	www.musee-pays-hanau.webmuseo.com		Fermé. Ouvert uniquement sur réservation pour les groupes	
ALSACE	BAS-RHIN	01/02/2003	NON			Musée Alsacien	"1, place Joseph Thierry"	67500	HAGUENAU	www.ville-haguenau.fr/pages/culture/musee.htm	"1er janvier, dimanche de Pâques, 1er mai, 1er novembre, 25 décembre"	"Ouvert du lundi au vendredi de 9h à 12h et de 14h à 17h, samedi-dimanche de 14h à 17h"	
ALSACE	BAS-RHIN	01/02/2003	NON			Musée Historique	"9, Rue du Maréchal Foch B.P. 40261"	67504	HAGUENAU Cedex	www.ville-haguenau.fr/pages/culture/musee.htm ou www.museumspass.com/dn_musees-haguenau/	"1er janvier, dimanche de Pâques, 1er mai, 1er novembre, 25 décembre"	"Ouvert lundi de 14h à 18h, mercredi au vendredi de 10h à 12h et de 14h à 18h, samedi-dimanche de 14h à 18h, juillet-août  de 10h à 12h et de 14h à 18h"	
ALSACE	BAS-RHIN	01/02/2003	NON			Musée de la Chartreuse	"4, Cour des Chartreux"	67120	MOLSHEIM	www.chartreuse-molsheim.info		"Ouvert du 2 mai au 15 juin de 14h à 17h et du 15 juin au 15 septembre de 10h à 12h et de 14h à à 18h du mercredi au lundi, du 15 septembre au 15 octobre de 14h à 17h du mercredi au lundi"	
ALSACE	BAS-RHIN	01/02/2003	NON			Maison de l'Archéologie des Vosges du Nord	"44, Avenue Foch"	67110	NIEDERBRONN-LES-BAINS	www.musee-niederbronn.fr		Ouvert du 1er mars au 31 octobre dimanche et lundi et du mercredi au vendredi de 14h à 18h et du 1er novembre au 28 février de 14h à 17h le dimanche. Ouvert sur rendez-vous pour les groupes et les scolaires	
ALSACE	BAS-RHIN	15/12/2002	NON			Musée de l'Image Populaire de Pfaffenhoffen	"24, rue du Docteur Albert Schweitzer"	67350	PFAFFENHOFFEN	www.pfaffenhoffen.org ou http://www.musee-image-populaire.webmuseo.com/	"4 semaines de fermeture annuelle après le 8 janvier. 1er janvier, vendredi Saint, 1er mai, 1er novembre, les 24 et 25 décembre"	Ouvert du mercredi au dimanche du 2 mai au 30 septembre de 14h à 18h et du 1er octobre au 30 avril de 14h à 17h	
ALSACE	BAS-RHIN	01/02/2003	NON			Musée du Fer	"9, rue Jeanne d'Arc"	67110	REICHSHOFFEN	musee-reischshoffen.webmuseo.com ou www.lacastine.com		"Ouvert du mercredi au dimanche de 14h à 18h de mai à octobre, le reste de l'année sur rendez-vous pour les groupes"	
ALSACE	BAS-RHIN	01/02/2003	NON			Musée du Château des Rohan	Château des Rohans Place du Général de Gaulle	67700	SAVERNE	http://www.louise weiss.org	"1er janvier, vendredi saint, 1er mai, 1er novembre, 24 et 25 décembre"	Ouvert du 2 janvier au 15 juin et du 16 septembre au 23 décembre du mercredi au lundi de 14h à 18h le samedi et dimanche et jours fériés 10h à 12h et 14h à 18h et du 15 juin au 15 septembre du mercredi au lundi de 10h à 12h et de 14h à 18h	
